geometry,Crime Type:,Occurrence Date/Time:,Location:,City:,Neighbourhood:,Prevention Tips:,Victim's Guide:
"X: 495037.2061, Y: 5456613.9743, Z: NaN",Other Theft,2026-04-03T20:55:00.0000000,17XX E BROADWAY AVE,VAN,Kensington-Cedar Cottage,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 495037.2061, Y: 5456613.9743, Z: NaN",Other Theft,2026-04-05T17:09:00.0000000,17XX E BROADWAY AVE,VAN,Kensington-Cedar Cottage,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 495037.2061, Y: 5456613.9743, Z: NaN",Other Theft,2026-04-05T18:16:00.0000000,17XX E BROADWAY AVE,VAN,Kensington-Cedar Cottage,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 495037.2061, Y: 5456613.9743, Z: NaN",Other Theft,2026-04-05T19:13:00.0000000,17XX E BROADWAY AVE,VAN,Kensington-Cedar Cottage,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 495037.2061, Y: 5456613.9743, Z: NaN",Other Theft,2026-04-06T14:00:00.0000000,17XX E BROADWAY AVE,VAN,Kensington-Cedar Cottage,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 495037.2061, Y: 5456613.9743, Z: NaN",Other Theft,2026-04-06T21:22:00.0000000,17XX E BROADWAY AVE,VAN,Kensington-Cedar Cottage,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 495037.2061, Y: 5456613.9743, Z: NaN",Other Theft,2026-04-08T17:48:00.0000000,17XX E BROADWAY AVE,VAN,Kensington-Cedar Cottage,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 495037.2061, Y: 5456613.9743, Z: NaN",Other Theft,2026-04-14T04:27:00.0000000,17XX E BROADWAY AVE,VAN,Kensington-Cedar Cottage,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 489845.372, Y: 5459249.0066, Z: NaN",Other Theft,2026-04-05T01:33:00.0000000,16XX DAVIE ST,VAN,West End,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 489854.175, Y: 5459227.2991, Z: NaN",Other Theft,2026-04-09T21:53:00.0000000,16XX DAVIE ST,VAN,West End,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 492106.1901, Y: 5458730.4891, Z: NaN",Other Theft,2026-04-13T21:02:00.0000000,1XX W PENDER ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 495210.116, Y: 5450866.9496, Z: NaN",Other Theft,2026-04-11T13:36:00.0000000,20XX HARRISON DR,VAN,Victoria-Fraserview,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 488732.6729, Y: 5453440.3558, Z: NaN",Other Theft,2026-04-05T00:27:00.0000000,20XX W 42ND AVE,VAN,Kerrisdale,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 488732.6729, Y: 5453440.3558, Z: NaN",Other Theft,2026-04-07T19:09:00.0000000,20XX W 42ND AVE,VAN,Kerrisdale,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491656.4223, Y: 5456901.5522, Z: NaN",Other Theft,2026-04-14T04:45:00.0000000,23XX CAMBIE ST,VAN,Mount Pleasant,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 492247.1533, Y: 5458986.1538, Z: NaN",Other Theft,2026-04-11T09:45:00.0000000,2XX ABBOTT ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 492853.6549, Y: 5459045.2803, Z: NaN",Other Theft,2026-04-12T18:10:00.0000000,2XX ALEXANDER ST,VAN,Strathcona,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491602.097, Y: 5459484.4883, Z: NaN",Other Theft,2026-04-05T21:06:00.0000000,2XX BURRARD ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491602.097, Y: 5459484.4883, Z: NaN",Other Theft,2026-04-08T21:21:00.0000000,2XX BURRARD ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491602.097, Y: 5459484.4883, Z: NaN",Other Theft,2026-04-09T00:37:00.0000000,2XX BURRARD ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 493061.6671, Y: 5458907.6233, Z: NaN",Other Theft,2026-04-06T04:34:00.0000000,2XX DUNLEVY AVE,VAN,Strathcona,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 492797.7115, Y: 5456588.7122, Z: NaN",Other Theft,2026-04-15T20:02:00.0000000,2XX E 10TH AVE,VAN,Mount Pleasant,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 492678.8162, Y: 5455789.1218, Z: NaN",Other Theft,2026-04-05T18:30:00.0000000,2XX E 18TH AVE,VAN,Riley Park,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 489923.2467, Y: 5456601.351, Z: NaN",Other Theft,2026-04-11T17:40:00.0000000,26XX GRANVILLE ST,VAN,Fairview,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491768.802, Y: 5458035.2336, Z: NaN",Other Theft,2026-04-04T21:31:00.0000000,3X SMITHE ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 497691.9514, Y: 5453254.634, Z: NaN",Other Theft,2026-04-12T03:48:00.0000000,34XX KINGSWAY AVE,VAN,Renfrew-Collingwood,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 497912.8413, Y: 5458026.2754, Z: NaN",Other Theft,2026-04-09T08:00:00.0000000,34XX NAPIER ST,VAN,Hastings-Sunrise,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 498049.5334, Y: 5454745.9211, Z: NaN",Other Theft,2026-04-07T15:47:00.0000000,35XX E 28TH AVE,VAN,Renfrew-Collingwood,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 497946.4355, Y: 5458704.5297, Z: NaN",Other Theft,2026-04-14T12:30:00.0000000,35XX E HASTINGS ST,VAN,Hastings-Sunrise,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 493084.9879, Y: 5458827.3558, Z: NaN",Other Theft,2026-04-05T17:59:00.0000000,4XX E CORDOVA ST,VAN,Strathcona,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491673.451, Y: 5459125.6292, Z: NaN",Other Theft,2026-04-06T21:31:00.0000000,4XX GRANVILLE ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 495244.708, Y: 5454050.7836, Z: NaN",Other Theft,2026-04-10T19:48:00.0000000,49XX VICTORIA DR,VAN,Kensington-Cedar Cottage,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 492415.9266, Y: 5456087.8461, Z: NaN",Other Theft,2026-04-13T02:00:00.0000000,4X E 15TH AVE,VAN,Mount Pleasant,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 492312.5107, Y: 5458784.957, Z: NaN",Other Theft,2026-04-08T03:15:00.0000000,4X W HASTINGS ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 492315.1185, Y: 5458784.2176, Z: NaN",Other Theft,2026-04-06T06:19:00.0000000,4X W HASTINGS ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 492346.8205, Y: 5459002.5212, Z: NaN",Other Theft,2026-04-15T23:00:00.0000000,4X WATER ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491620.7242, Y: 5459072.5266, Z: NaN",Other Theft,2026-04-10T19:23:00.0000000,5XX GRANVILLE ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 493488.961, Y: 5458570.709, Z: NaN",Other Theft,2026-04-07T13:24:00.0000000,5XX HEATLEY AVE,VAN,Strathcona,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491773.218, Y: 5458943.6416, Z: NaN",Other Theft,2026-04-11T07:13:00.0000000,5XX RICHARDS ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491787.414, Y: 5458970.873, Z: NaN",Other Theft,2026-04-14T02:35:00.0000000,5XX RICHARDS ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491362.8063, Y: 5458660.3602, Z: NaN",Other Theft,2026-04-13T03:18:00.0000000,5XX ROBSON ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 492169.9395, Y: 5458667.7581, Z: NaN",Other Theft,2026-04-07T07:00:00.0000000,5XX ABBOTT ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 492169.9395, Y: 5458667.7581, Z: NaN",Other Theft,2026-04-10T20:00:00.0000000,5XX ABBOTT ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 492011.7453, Y: 5458616.362, Z: NaN",Other Theft,2026-04-09T16:30:00.0000000,5XX BEATTY ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 492509.0252, Y: 5458749.9029, Z: NaN",Other Theft,2026-04-04T23:33:00.0000000,6X E HASTINGS ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491826.9425, Y: 5459079.6858, Z: NaN",Other Theft,2026-04-12T21:12:00.0000000,5XX W HASTINGS ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491676.3933, Y: 5458702.8347, Z: NaN",Other Theft,2026-04-03T22:27:00.0000000,6XX HOMER ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491676.3933, Y: 5458702.8347, Z: NaN",Other Theft,2026-04-04T16:41:00.0000000,6XX HOMER ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491676.3933, Y: 5458702.8347, Z: NaN",Other Theft,2026-04-05T04:39:00.0000000,6XX HOMER ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491676.3933, Y: 5458702.8347, Z: NaN",Other Theft,2026-04-06T22:52:00.0000000,6XX HOMER ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491676.3933, Y: 5458702.8347, Z: NaN",Other Theft,2026-04-14T18:42:00.0000000,6XX HOMER ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491676.3933, Y: 5458702.8347, Z: NaN",Other Theft,2026-04-15T15:34:00.0000000,6XX HOMER ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491292.7916, Y: 5458742.3123, Z: NaN",Other Theft,2026-04-05T20:42:00.0000000,7XX GRANVILLE ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491292.7916, Y: 5458742.3123, Z: NaN",Other Theft,2026-04-07T00:35:00.0000000,7XX GRANVILLE ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491394.1166, Y: 5458844.2562, Z: NaN",Other Theft,2026-04-02T21:30:00.0000000,7XX GRANVILLE ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491394.1166, Y: 5458844.2562, Z: NaN",Other Theft,2026-04-03T21:43:00.0000000,7XX GRANVILLE ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491394.1166, Y: 5458844.2562, Z: NaN",Other Theft,2026-04-04T00:05:00.0000000,7XX GRANVILLE ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491394.1166, Y: 5458844.2562, Z: NaN",Other Theft,2026-04-05T05:05:00.0000000,7XX GRANVILLE ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491394.1166, Y: 5458844.2562, Z: NaN",Other Theft,2026-04-09T00:13:00.0000000,7XX GRANVILLE ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491394.1166, Y: 5458844.2562, Z: NaN",Other Theft,2026-04-09T00:37:00.0000000,7XX GRANVILLE ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491394.1166, Y: 5458844.2562, Z: NaN",Other Theft,2026-04-09T01:41:00.0000000,7XX GRANVILLE ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491394.1166, Y: 5458844.2562, Z: NaN",Other Theft,2026-04-09T04:26:00.0000000,7XX GRANVILLE ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491394.1166, Y: 5458844.2562, Z: NaN",Other Theft,2026-04-10T02:18:00.0000000,7XX GRANVILLE ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491394.1166, Y: 5458844.2562, Z: NaN",Other Theft,2026-04-10T16:53:00.0000000,7XX GRANVILLE ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491394.1166, Y: 5458844.2562, Z: NaN",Other Theft,2026-04-11T01:19:00.0000000,7XX GRANVILLE ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491394.1166, Y: 5458844.2562, Z: NaN",Other Theft,2026-04-11T03:42:00.0000000,7XX GRANVILLE ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491394.1166, Y: 5458844.2562, Z: NaN",Other Theft,2026-04-12T01:13:00.0000000,7XX GRANVILLE ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491394.1166, Y: 5458844.2562, Z: NaN",Other Theft,2026-04-12T22:28:00.0000000,7XX GRANVILLE ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491394.1166, Y: 5458844.2562, Z: NaN",Other Theft,2026-04-13T02:32:00.0000000,7XX GRANVILLE ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491394.1166, Y: 5458844.2562, Z: NaN",Other Theft,2026-04-14T15:46:00.0000000,7XX GRANVILLE ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491396.0641, Y: 5458846.2153, Z: NaN",Other Theft,2026-04-16T00:08:00.0000000,7XX GRANVILLE ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491396.0641, Y: 5458846.2153, Z: NaN",Other Theft,2026-04-16T00:18:00.0000000,7XX GRANVILLE ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491396.0641, Y: 5458846.2153, Z: NaN",Other Theft,2026-04-16T02:33:00.0000000,7XX GRANVILLE ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491396.0641, Y: 5458846.2153, Z: NaN",Other Theft,2026-04-16T02:45:00.0000000,7XX GRANVILLE ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491396.0641, Y: 5458846.2153, Z: NaN",Other Theft,2026-04-16T03:14:00.0000000,7XX GRANVILLE ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491396.0641, Y: 5458846.2153, Z: NaN",Other Theft,2026-04-16T05:21:00.0000000,7XX GRANVILLE ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491688.8172, Y: 5459447.7285, Z: NaN",Other Theft,2026-04-11T03:00:00.0000000,9XX CANADA PL,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 490522.0377, Y: 5458332.3093, Z: NaN",Other Theft,2026-04-03T04:45:00.0000000,9XX DRAKE ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491647.8257, Y: 5459106.3332, Z: NaN",Other Theft,2026-04-05T16:55:00.0000000,GRANVILLE ST / W PENDER ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 492412.3483, Y: 5458751.9869, Z: NaN",Other Theft,2026-04-10T22:23:00.0000000,CARRALL ST / W HASTINGS ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 494920.3381, Y: 5456517.1513, Z: NaN",Other Theft,2026-04-03T10:44:00.0000000,COMMERCIAL DR / E 10TH AVE,VAN,Kensington-Cedar Cottage,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 494929.274, Y: 5457125.9352, Z: NaN",Other Theft,2026-04-03T00:00:00.0000000,COMMERCIAL DR / E 4TH AVE,VAN,Grandview-Woodland,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491058.8169, Y: 5459123.0857, Z: NaN",Theft from Vehicle,2026-04-05T15:16:00.0000000,10XX ALBERNI ST,VAN,West End,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 491044.9783, Y: 5458358.9775, Z: NaN",Theft from Vehicle,2026-04-06T05:32:00.0000000,10XX SEYMOUR ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 491044.9783, Y: 5458358.9775, Z: NaN",Theft from Vehicle,2026-04-13T01:00:00.0000000,10XX SEYMOUR ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 491125.4165, Y: 5458427.7214, Z: NaN",Theft from Vehicle,2026-04-07T00:15:00.0000000,10XX SEYMOUR ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 494782.9068, Y: 5452765.3227, Z: NaN",Theft from Vehicle,2026-04-04T19:00:00.0000000,17XX E 47TH AVE,VAN,Victoria-Fraserview,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 489821.9212, Y: 5457343.2746, Z: NaN",Theft from Vehicle,2026-04-15T16:05:00.0000000,15XX W 3RD AVE,VAN,Fairview,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 492121.8011, Y: 5458572.3016, Z: NaN",Theft from Vehicle,2026-04-05T00:00:00.0000000,1XX KEEFER PL,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 488906.8423, Y: 5452817.0094, Z: NaN",Theft from Vehicle,2026-04-03T05:00:00.0000000,20XX W 48TH AVE,VAN,Kerrisdale,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 497361.5191, Y: 5457096.3716, Z: NaN",Theft from Vehicle,2026-04-07T07:00:00.0000000,20XX WINDERMERE ST,VAN,Hastings-Sunrise,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 495312.0428, Y: 5450939.5429, Z: NaN",Theft from Vehicle,2026-04-06T02:00:00.0000000,21XX BURQUITLAM DR,VAN,Victoria-Fraserview,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 491433.2538, Y: 5460813.096, Z: NaN",Theft from Vehicle,2026-04-07T03:00:00.0000000,21XX STANLEY PARK DR,VAN,Stanley Park,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 488499.38, Y: 5453535.1968, Z: NaN",Theft from Vehicle,2026-04-10T16:00:00.0000000,21XX W 41ST AVE,VAN,Kerrisdale,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 492987.4329, Y: 5456098.4605, Z: NaN",Theft from Vehicle,2026-04-13T01:30:00.0000000,30XX PRINCE EDWARD ST,VAN,Mount Pleasant,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 487393.2959, Y: 5453246.5025, Z: NaN",Theft from Vehicle,2026-04-03T03:30:00.0000000,30XX W 44TH AVE,VAN,Kerrisdale,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 497257.464, Y: 5455972.9101, Z: NaN",Theft from Vehicle,2026-04-11T20:21:00.0000000,31XX E 15TH AVE,VAN,Renfrew-Collingwood,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 491275.0832, Y: 5457982.1293, Z: NaN",Theft from Vehicle,2026-04-06T01:30:00.0000000,2XX ALVIN NAROD MEWS,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 491602.097, Y: 5459484.4883, Z: NaN",Theft from Vehicle,2026-04-02T16:00:00.0000000,2XX BURRARD ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 495155.5727, Y: 5454452.7141, Z: NaN",Theft from Vehicle,2026-04-15T04:00:00.0000000,47XX BEATRICE ST,VAN,Kensington-Cedar Cottage,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 488251.3911, Y: 5454537.6244, Z: NaN",Theft from Vehicle,2026-04-10T08:00:00.0000000,47XX NARVAEZ DR,VAN,Arbutus Ridge,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 492890.2142, Y: 5459034.8466, Z: NaN",Theft from Vehicle,2026-04-15T06:11:00.0000000,3XX ALEXANDER ST,VAN,Strathcona,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 492064.4008, Y: 5458975.0476, Z: NaN",Theft from Vehicle,2026-04-10T19:52:00.0000000,3XX CAMBIE ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 492421.343, Y: 5458856.5575, Z: NaN",Theft from Vehicle,2026-04-13T04:29:00.0000000,3XX CARRALL ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 498277.3431, Y: 5458674.452, Z: NaN",Theft from Vehicle,2026-04-08T00:49:00.0000000,4XX BOUNDARY RD,VAN,Hastings-Sunrise,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 491742.3042, Y: 5458792.113, Z: NaN",Theft from Vehicle,2026-04-09T00:00:00.0000000,4XX DUNSMUIR ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 492979.1239, Y: 5455571.9071, Z: NaN",Theft from Vehicle,2026-04-03T06:00:00.0000000,4XX E 20TH AVE,VAN,Riley Park,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 492917.6801, Y: 5452946.7837, Z: NaN",Theft from Vehicle,2026-04-09T06:00:00.0000000,4XX E 45TH AVE,VAN,Sunset,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 492892.9776, Y: 5451920.3662, Z: NaN",Theft from Vehicle,2026-04-07T06:00:00.0000000,4XX E 55TH AVE,VAN,Sunset,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 492408.0336, Y: 5458534.6189, Z: NaN",Theft from Vehicle,2026-04-10T18:28:00.0000000,5XX CARRALL ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 491278.6732, Y: 5459176.8304, Z: NaN",Theft from Vehicle,2026-04-07T02:00:00.0000000,6XX BURRARD ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 490887.4707, Y: 5458444.6825, Z: NaN",Theft from Vehicle,2026-04-14T22:25:00.0000000,7XX HELMCKEN ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 491417.7303, Y: 5458707.2917, Z: NaN",Theft from Vehicle,2026-04-12T02:00:00.0000000,7XX SEYMOUR ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 491199.1782, Y: 5450829.1031, Z: NaN",Theft from Vehicle,2026-04-03T06:21:00.0000000,7XX W 68TH AVE,VAN,Marpole,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 491407.7443, Y: 5458871.8391, Z: NaN",Theft from Vehicle,2026-04-03T19:30:00.0000000,7XX W GEORGIA ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 491407.7443, Y: 5458871.8391, Z: NaN",Theft from Vehicle,2026-04-04T00:21:00.0000000,7XX W GEORGIA ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 491260.6883, Y: 5459006.2925, Z: NaN",Theft from Vehicle,2026-04-11T23:00:00.0000000,9XX W GEORGIA ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 491199.5822, Y: 5458514.6694, Z: NaN",Theft from Vehicle,2026-04-13T04:00:00.0000000,9XX SEYMOUR ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 491208.2714, Y: 5458510.421, Z: NaN",Theft from Vehicle,2026-04-03T02:30:00.0000000,9XX SEYMOUR ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 491235.2963, Y: 5458550.2872, Z: NaN",Theft from Vehicle,2026-04-06T01:36:00.0000000,9XX SEYMOUR ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 491241.7534, Y: 5458543.8127, Z: NaN",Theft from Vehicle,2026-04-13T03:45:00.0000000,9XX SEYMOUR ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 490412.0316, Y: 5458005.3688, Z: NaN",Theft from Vehicle,2026-04-04T06:30:00.0000000,BEACH AVE / HOWE ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 493189.9257, Y: 5458217.1299, Z: NaN",Theft from Vehicle,2026-04-10T20:00:00.0000000,MALKIN AVE / PRIOR ST,VAN,Strathcona,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 491125.6598, Y: 5458434.4889, Z: NaN",Theft from Vehicle,2026-04-12T06:11:00.0000000,NELSON ST / SEYMOUR ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 490227.3948, Y: 5459946.9941, Z: NaN",Theft of Bicycle,2026-04-12T19:00:00.0000000,ALBERNI ST / DENMAN ST,VAN,West End,https://vpd.ca/crime-prevention-safety/bike-theft-protection/,
"X: 491269.0649, Y: 5458530.4366, Z: NaN",Theft of Bicycle,2026-04-12T17:38:00.0000000,5XX SMITHE ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/bike-theft-protection/,
"X: 492876.3076, Y: 5451181.9687, Z: NaN",Theft of Vehicle,2026-04-04T23:30:00.0000000,4XX E 63RD AVE,VAN,Sunset,,
"X: 493065.4797, Y: 5458615.6264, Z: NaN",Theft of Vehicle,2026-04-05T00:00:00.0000000,4XX E PENDER ST,VAN,Strathcona,,
"X: 489531, Y: 5457844, Z: NaN",Vehicle Collision or Pedestrian Struck (with Injury),2026-04-15T21:11:00.0000000,14XX BURRARD STREET BRDG,VANCOUVER,Kitsilano,https://vpd.ca/crime-prevention-safety/road-safety/,
"X: 496064, Y: 5454138, Z: NaN",Vehicle Collision or Pedestrian Struck (with Injury),2026-04-07T01:04:00.0000000,SLOCAN ST / KINGSWAY AVE,VANCOUVER,Renfrew-Collingwood,https://vpd.ca/crime-prevention-safety/road-safety/,
"X: 494594, Y: 5458221, Z: NaN",Vehicle Collision or Pedestrian Struck (with Injury),2026-04-14T23:39:00.0000000,VENABLES ST / MCLEAN DR,VANCOUVER,Grandview-Woodland,https://vpd.ca/crime-prevention-safety/road-safety/,
"X: 490422.1791, Y: 5459603.3066, Z: NaN",Break and Enter Commercial,2026-04-05T18:54:00.0000000,15XX ROBSON ST,VAN,West End,https://vpd.ca/crime-prevention-safety/business/,
"X: 490516.8267, Y: 5452857.1864, Z: NaN",Break and Enter Commercial,2026-04-12T19:00:00.0000000,10XX W 47TH AVE,VAN,Oakridge,https://vpd.ca/crime-prevention-safety/business/,
"X: 494274.1694, Y: 5457645.8023, Z: NaN",Break and Enter Commercial,2026-04-06T10:32:00.0000000,11XX GRANT ST,VAN,Strathcona,https://vpd.ca/crime-prevention-safety/business/,
